genotype,pop,replicate,timepoint,date,tray,initial_temp,fly,survived
mX,1,1,1,7.11.2023,B,4.8,1,1
mX,1,2,1,7.11.2023,B,4.8,1,1
mX,1,2,1,7.11.2023,B,4.8,2,1
mX,1,2,1,7.11.2023,B,4.8,3,1
mX,1,2,1,7.11.2023,B,4.8,4,1
mX,1,2,1,7.11.2023,B,4.8,5,1
mX,1,4,1,7.11.2023,B,4.8,1,1
mX,1,4,1,7.11.2023,B,4.8,2,1
mX,1,4,1,7.11.2023,B,4.8,3,1
mX,1,4,1,7.11.2023,B,4.8,4,1
mX,1,4,1,7.11.2023,B,4.8,5,1
mX,1,5,1,7.11.2023,B,4.8,1,1
mX,1,5,1,7.11.2023,B,4.8,2,1
mX,1,5,1,7.11.2023,B,4.8,3,1
mX,1,5,1,7.11.2023,B,4.8,4,1
mX,1,5,1,7.11.2023,B,4.8,5,1
mX,1,6,1,7.11.2023,D,4.8,1,1
mX,1,6,1,7.11.2023,D,4.8,2,1
mX,1,6,1,7.11.2023,D,4.8,3,1
mX,1,7,1,7.11.2023,D,4.8,1,1
mX,1,7,1,7.11.2023,D,4.8,2,1
mX,1,7,1,7.11.2023,D,4.8,3,1
mX,1,7,1,7.11.2023,D,4.8,4,1
mX,1,7,1,7.11.2023,D,4.8,5,1
mX,1,7,1,7.11.2023,D,4.8,6,1
mX,1,8,1,7.11.2023,D,4.8,1,1
mX,1,8,1,7.11.2023,D,4.8,2,1
mX,1,8,1,7.11.2023,D,4.8,3,1
mX,1,8,1,7.11.2023,D,4.8,4,1
mX,1,8,1,7.11.2023,D,4.8,5,1
mX,1,9,1,7.11.2023,D,4.8,1,1
mX,1,9,1,7.11.2023,D,4.8,2,1
mX,1,9,1,7.11.2023,D,4.8,3,1
mX,1,9,1,7.11.2023,D,4.8,4,1
mX,1,9,1,7.11.2023,D,4.8,5,1
mX,1,10,1,7.11.2023,D,4.8,1,1
mX,1,10,1,7.11.2023,D,4.8,2,1
mX,1,10,1,7.11.2023,D,4.8,3,1
mX,1,10,1,7.11.2023,D,4.8,4,1
mX,1,10,1,7.11.2023,D,4.8,5,1
mX,1,11,1,7.11.2023,B,4.8,1,1
mX,1,11,1,7.11.2023,B,4.8,2,1
mX,1,11,1,7.11.2023,B,4.8,3,1
mX,1,12,1,7.11.2023,B,4.8,1,1
mX,1,12,1,7.11.2023,B,4.8,2,1
mX,1,12,1,7.11.2023,B,4.8,3,1
mX,1,13,1,7.11.2023,B,4.8,1,1
mX,1,13,1,7.11.2023,B,4.8,2,1
