genotype,pop,timepoint,initial_temp,date,control_ave,survical_drop_sd,survical_drop,survival_drop_normalised_sd,survival_drop_normalised
mM,11,1,4.8,7.11.2023,20.20713083213083,15.104547146675051,17.817460317460316,0.7474859876028368,0.8817412261779015
mM,11,2,4.9,27.02.2024,57.151455026455025,19.68684224628864,56.210317460317455,0.34446790964771995,0.983532570330853
mM,11,3,5.2,11.06.2024,71.61111111111111,15.558109624295458,69.18518518518519,0.21725831903593348,0.9661236100336177
mM,11,4,5.3,17.09.2024,46.18981481481482,20.872661899193716,38.75925925925926,0.451888841357707,0.8391299989976947
mM,11,5,NA,04.03.2025,73.26112313612313,16.324785407610413,66.4047619047619,0.22283012747809067,0.9064120103834371
mM,11,6,6.5,29.07.2025,85.82407407407408,9.416719880649984,79.96296296296296,0.10972119399182205,0.9317078433487971
mX,1,1,4.8,7.11.2023,20.20713083213083,19.99537417830372,30.992424242424242,0.9895206966497984,1.5337370010562805
mX,1,2,4.9,27.02.2024,57.151455026455025,18.421411263341447,66.41666666666667,0.3223261989535402,1.1621168111279552
mX,1,3,5.2,11.06.2024,71.61111111111111,13.410527005814993,67.48280423280423,0.18726880225342896,0.9423510288521925
mX,1,4,5.3,17.09.2024,46.18981481481482,16.439974906465356,67.56613756613757,0.35592207876080156,1.4627929953178023
mX,1,5,NA,04.03.2025,73.26112313612313,14.191530280967719,54.14750957854406,0.19371161229127062,0.7391029138051168
mX,1,6,6.5,29.07.2025,85.82407407407408,12.38010472680609,83.35185185185185,0.1442497907535935,0.9711943035926206
mX,2,1,4.8,7.11.2023,20.20713083213083,12.078243100432408,21.443602693602692,0.5977218240813836,1.0611898775607362
mX,2,2,4.9,27.02.2024,57.151455026455025,15.042478338548479,63.17195767195767,0.2632037685057261,1.1053429460845012
mX,2,3,5.2,11.06.2024,71.61111111111111,14.054327580521202,78.20370370370371,0.19625903525941157,1.0920610292216189
mX,2,4,5.3,17.09.2024,46.18981481481482,16.361141738571945,55.7962962962963,0.3542153568739641,1.2079783502054726
