genotype,pop,timepoint,replicate,initial_temp,date,tray,control_ave,survival_drop,survival_drop_normalised
mM,11,1,1,4.8,7.11.2023,A,20.20713083213083,10,0.4948748084561942
mM,11,1,2,4.8,7.11.2023,A,20.20713083213083,0,0
mM,11,1,3,4.8,7.11.2023,A,20.20713083213083,37.5,1.855780531710728
mM,11,1,4,4.8,7.11.2023,A,20.20713083213083,60,2.969248850737165
mM,11,1,5,4.8,7.11.2023,A,20.20713083213083,11.11111111111111,0.5498608982846602
mM,11,1,6,4.8,7.11.2023,D,20.20713083213083,30,1.4846244253685825
mM,11,1,7,4.8,7.11.2023,D,20.20713083213083,42.857142857142854,2.120892036240832
mM,11,1,8,4.8,7.11.2023,D,20.20713083213083,20,0.9897496169123884
mM,11,1,9,4.8,7.11.2023,D,20.20713083213083,20,0.9897496169123884
mM,11,1,10,4.8,7.11.2023,D,20.20713083213083,0,0
mM,11,1,11,4.8,7.11.2023,B,20.20713083213083,0,0
mM,11,1,12,4.8,7.11.2023,B,20.20713083213083,0,0
mM,11,1,13,4.8,7.11.2023,B,20.20713083213083,0,0
mM,11,1,14,4.8,7.11.2023,B,20.20713083213083,20,0.9897496169123884
mM,11,1,15,4.8,7.11.2023,B,20.20713083213083,30,1.4846244253685825
mM,11,1,16,4.8,7.11.2023,C,20.20713083213083,33.33333333333333,1.6495826948539805
mM,11,1,17,4.8,7.11.2023,C,20.20713083213083,0,0
mM,11,1,18,4.8,7.11.2023,C,20.20713083213083,12.5,0.6185935105702427
mM,11,1,19,4.8,7.11.2023,C,20.20713083213083,20,0.9897496169123884
mM,11,1,20,4.8,7.11.2023,C,20.20713083213083,20,0.9897496169123884
mM,11,1,21,4.8,7.11.2023,D,20.20713083213083,20,0.9897496169123884
mM,11,1,22,4.8,7.11.2023,D,20.20713083213083,0,0
mM,11,1,23,4.8,7.11.2023,D,20.20713083213083,20,0.9897496169123884
mM,11,1,24,4.8,7.11.2023,D,20.20713083213083,40,1.9794992338247768
mM,11,1,25,4.8,7.11.2023,D,20.20713083213083,12.5,0.6185935105702427
mM,11,1,26,4.8,7.11.2023,B,20.20713083213083,0,0
mM,11,1,27,4.8,7.11.2023,B,20.20713083213083,22.22222222222222,1.0997217965693205
mM,11,1,28,4.8,7.11.2023,B,20.20713083213083,12.5,0.6185935105702427
mM,11,1,29,4.8,7.11.2023,B,20.20713083213083,20,0.9897496169123884
mM,11,1,30,4.8,7.11.2023,B,20.20713083213083,20,0.9897496169123884
mM,11,2,1,4.9,27.02.2024,C,57.151455026455025,50,0.8748683647136426
mM,11,2,2,4.9,27.02.2024,C,57.151455026455025,60,1.049842037656371
mM,11,2,3,4.9,27.02.2024,C,57.151455026455025,80,1.3997893835418282
mM,11,2,4,4.9,27.02.2024,C,57.151455026455025,50,0.8748683647136426
mM,11,2,5,4.9,27.02.2024,C,57.151455026455025,60,1.049842037656371
mM,11,2,6,4.9,27.02.2024,C,57.151455026455025,44.44444444444444,0.777660768634349
mM,11,2,7,4.9,27.02.2024,B,57.151455026455025,30,0.5249210188281855
mM,11,2,8,4.9,27.02.2024,B,57.151455026455025,60,1.049842037656371
mM,11,2,9,4.9,27.02.2024,B,57.151455026455025,60,1.049842037656371
mM,11,2,10,4.9,27.02.2024,B,57.151455026455025,66.66666666666666,1.1664911529515234
mM,11,2,11,4.9,27.02.2024,B,57.151455026455025,70,1.2248157105990998
mM,11,2,12,4.9,27.02.2024,B,57.151455026455025,57.14285714285714,0.9998495596727344
mM,11,2,13,4.9,27.02.2024,C,57.151455026455025,70,1.2248157105990998
mM,11,2,14,4.9,27.02.2024,C,57.151455026455025,60,1.049842037656371
mM,11,2,15,4.9,27.02.2024,C,57.151455026455025,90,1.5747630564845567
mM,11,2,16,4.9,27.02.2024,C,57.151455026455025,90,1.5747630564845567
mM,11,2,17,4.9,27.02.2024,C,57.151455026455025,75,1.312302547070464
mM,11,2,18,4.9,27.02.2024,C,57.151455026455025,62.5,1.0935854558920532
mM,11,2,19,4.9,27.02.2024,C,57.151455026455025,40,0.6998946917709141
mM,11,2,20,4.9,27.02.2024,C,57.151455026455025,60,1.049842037656371
mM,11,2,21,4.9,27.02.2024,C,57.151455026455025,77.77777777777779,1.3609063451101109
mM,11,2,22,4.9,27.02.2024,C,57.151455026455025,50,0.8748683647136426
mM,11,2,23,4.9,27.02.2024,C,57.151455026455025,77.77777777777779,1.3609063451101109
mM,11,2,24,4.9,27.02.2024,C,57.151455026455025,70,1.2248157105990998
mM,11,2,25,4.9,27.02.2024,A,57.151455026455025,10,0.17497367294272853
mM,11,2,26,4.9,27.02.2024,A,57.151455026455025,37.5,0.656151273535232
mM,11,2,27,4.9,27.02.2024,A,57.151455026455025,30,0.5249210188281855
mM,11,2,28,4.9,27.02.2024,A,57.151455026455025,37.5,0.656151273535232
mM,11,2,29,4.9,27.02.2024,A,57.151455026455025,20,0.34994734588545706
mM,11,2,30,4.9,27.02.2024,A,57.151455026455025,40,0.6998946917709141
mM,11,3,1,5.2,11.06.2024,D,71.61111111111111,60,0.8378588052754072
mM,11,3,2,5.2,11.06.2024,D,71.61111111111111,70,0.9775019394879751
mM,11,3,3,5.2,11.06.2024,D,71.61111111111111,66.66666666666666,0.9309542280837857
mM,11,3,4,5.2,11.06.2024,D,71.61111111111111,60,0.8378588052754072
mM,11,3,5,5.2,11.06.2024,D,71.61111111111111,80,1.117145073700543
mM,11,3,6,5.2,11.06.2024,D,71.61111111111111,66.66666666666666,0.9309542280837857
mM,11,3,7,5.2,11.06.2024,D,71.61111111111111,80,1.117145073700543
mM,11,3,8,5.2,11.06.2024,D,71.61111111111111,70,0.9775019394879751
mM,11,3,9,5.2,11.06.2024,D,71.61111111111111,70,0.9775019394879751
mM,11,3,10,5.2,11.06.2024,D,71.61111111111111,66.66666666666666,0.9309542280837857
mM,11,3,11,5.2,11.06.2024,A,71.61111111111111,44.44444444444444,0.6206361520558572
mM,11,3,12,5.2,11.06.2024,A,71.61111111111111,55.55555555555556,0.7757951900698216
mM,11,3,13,5.2,11.06.2024,A,71.61111111111111,66.66666666666666,0.9309542280837857
mM,11,3,14,5.2,11.06.2024,A,71.61111111111111,80,1.117145073700543
mM,11,3,15,5.2,11.06.2024,A,71.61111111111111,77.77777777777779,1.0861132660977502
mM,11,3,16,5.2,11.06.2024,C,71.61111111111111,55.55555555555556,0.7757951900698216
mM,11,3,17,5.2,11.06.2024,C,71.61111111111111,60,0.8378588052754072
mM,11,3,18,5.2,11.06.2024,C,71.61111111111111,100,1.3964313421256787
mM,11,3,19,5.2,11.06.2024,C,71.61111111111111,50,0.6982156710628393
mM,11,3,20,5.2,11.06.2024,C,71.61111111111111,55.55555555555556,0.7757951900698216
mM,11,3,21,5.2,11.06.2024,C,71.61111111111111,33.33333333333333,0.46547711404189285
mM,11,3,22,5.2,11.06.2024,C,71.61111111111111,66.66666666666666,0.9309542280837857
mM,11,3,23,5.2,11.06.2024,C,71.61111111111111,80,1.117145073700543
mM,11,3,24,5.2,11.06.2024,C,71.61111111111111,80,1.117145073700543
mM,11,3,25,5.2,11.06.2024,C,71.61111111111111,100,1.3964313421256787
mM,11,3,26,5.2,11.06.2024,C,71.61111111111111,80,1.117145073700543
mM,11,3,27,5.2,11.06.2024,C,71.61111111111111,70,0.9775019394879751
mM,11,3,28,5.2,11.06.2024,C,71.61111111111111,90,1.256788207913111
mM,11,3,29,5.2,11.06.2024,C,71.61111111111111,50,0.6982156710628393
mM,11,3,30,5.2,11.06.2024,C,71.61111111111111,90,1.256788207913111
mM,11,4,1,5.3,17.09.2024,D,46.18981481481482,40,0.865991781096522
mM,11,4,2,5.3,17.09.2024,D,46.18981481481482,0,0
mM,11,4,3,5.3,17.09.2024,D,46.18981481481482,10,0.2164979452741305
mM,11,4,4,5.3,17.09.2024,D,46.18981481481482,16.666666666666664,0.3608299087902174
mM,11,4,5,5.3,17.09.2024,D,46.18981481481482,22.22222222222222,0.4811065450536233
mM,11,4,6,5.3,17.09.2024,A,46.18981481481482,20,0.432995890548261
mM,11,4,7,5.3,17.09.2024,A,46.18981481481482,30,0.6494938358223915
mM,11,4,8,5.3,17.09.2024,A,46.18981481481482,70,1.5154856169189135
mM,11,4,9,5.3,17.09.2024,A,46.18981481481482,66.66666666666666,1.4433196351608697
mM,11,4,10,5.3,17.09.2024,A,46.18981481481482,40,0.865991781096522
mM,11,4,11,5.3,17.09.2024,D,46.18981481481482,40,0.865991781096522
mM,11,4,12,5.3,17.09.2024,D,46.18981481481482,50,1.0824897263706525
mM,11,4,13,5.3,17.09.2024,D,46.18981481481482,0,0
mM,11,4,14,5.3,17.09.2024,D,46.18981481481482,33.33333333333333,0.7216598175804348
mM,11,4,15,5.3,17.09.2024,D,46.18981481481482,30,0.6494938358223915
mM,11,4,16,5.3,17.09.2024,B,46.18981481481482,44.44444444444444,0.9622130901072466
mM,11,4,17,5.3,17.09.2024,B,46.18981481481482,44.44444444444444,0.9622130901072466
mM,11,4,18,5.3,17.09.2024,B,46.18981481481482,30,0.6494938358223915
mM,11,4,19,5.3,17.09.2024,B,46.18981481481482,50,1.0824897263706525
mM,11,4,20,5.3,17.09.2024,B,46.18981481481482,50,1.0824897263706525
mM,11,4,21,5.3,17.09.2024,A,46.18981481481482,37.5,0.8118672947779894
mM,11,4,22,5.3,17.09.2024,A,46.18981481481482,60,1.298987671644783
mM,11,4,23,5.3,17.09.2024,A,46.18981481481482,70,1.5154856169189135
mM,11,4,24,5.3,17.09.2024,A,46.18981481481482,50,1.0824897263706525
mM,11,4,25,5.3,17.09.2024,A,46.18981481481482,12.5,0.27062243159266314
mM,11,4,26,5.3,17.09.2024,C,46.18981481481482,37.5,0.8118672947779894
mM,11,4,27,5.3,17.09.2024,C,46.18981481481482,30,0.6494938358223915
mM,11,4,28,5.3,17.09.2024,C,46.18981481481482,30,0.6494938358223915
mM,11,4,29,5.3,17.09.2024,C,46.18981481481482,87.5,1.8943570211486418
mM,11,4,30,5.3,17.09.2024,C,46.18981481481482,60,1.298987671644783
mM,11,5,1,NA,04.03.2025,NA,73.26112313612313,70,0.9554863071091091
mM,11,5,2,NA,04.03.2025,NA,73.26112313612313,77.77777777777779,1.0616514523434546
mM,11,5,3,NA,04.03.2025,NA,73.26112313612313,77.77777777777779,1.0616514523434546
mM,11,5,4,NA,04.03.2025,NA,73.26112313612313,50,0.6824902193636493
mM,11,5,5,NA,04.03.2025,NA,73.26112313612313,88.88888888888889,1.2133159455353766
mM,11,5,6,NA,04.03.2025,NA,73.26112313612313,88.88888888888889,1.2133159455353766
mM,11,5,7,NA,04.03.2025,NA,73.26112313612313,70,0.9554863071091091
mM,11,5,8,NA,04.03.2025,NA,73.26112313612313,60,0.8189882632363792
mM,11,5,9,NA,04.03.2025,NA,73.26112313612313,70,0.9554863071091091
mM,11,5,10,NA,04.03.2025,NA,73.26112313612313,90,1.2284823948545687
mM,11,5,11,NA,04.03.2025,NA,73.26112313612313,90,1.2284823948545687
mM,11,5,12,NA,04.03.2025,NA,73.26112313612313,60,0.8189882632363792
mM,11,5,13,NA,04.03.2025,NA,73.26112313612313,50,0.6824902193636493
mM,11,5,14,NA,04.03.2025,NA,73.26112313612313,20,0.27299608774545975
mM,11,5,15,NA,04.03.2025,NA,73.26112313612313,70,0.9554863071091091
mM,11,5,16,NA,04.03.2025,NA,73.26112313612313,55.55555555555556,0.7583224659596104
mM,11,5,17,NA,04.03.2025,NA,73.26112313612313,66.66666666666666,0.9099869591515323
mM,11,5,18,NA,04.03.2025,NA,73.26112313612313,57.14285714285714,0.7799888221298849
mM,11,5,19,NA,04.03.2025,NA,73.26112313612313,70,0.9554863071091091
mM,11,5,20,NA,04.03.2025,NA,73.26112313612313,66.66666666666666,0.9099869591515323
mM,11,5,21,NA,04.03.2025,NA,73.26112313612313,70,0.9554863071091091
mM,11,5,22,NA,04.03.2025,NA,73.26112313612313,77.77777777777779,1.0616514523434546
mM,11,5,23,NA,04.03.2025,NA,73.26112313612313,60,0.8189882632363792
mM,11,5,24,NA,04.03.2025,NA,73.26112313612313,50,0.6824902193636493
mM,11,5,25,NA,04.03.2025,NA,73.26112313612313,80,1.091984350981839
mM,11,5,26,NA,04.03.2025,NA,73.26112313612313,60,0.8189882632363792
mM,11,5,27,NA,04.03.2025,NA,73.26112313612313,60,0.8189882632363792
mM,11,5,28,NA,04.03.2025,NA,73.26112313612313,30,0.4094941316181896
mM,11,5,29,NA,04.03.2025,NA,73.26112313612313,75,1.023735329045474
mM,11,5,30,NA,04.03.2025,NA,73.26112313612313,80,1.091984350981839
mM,11,6,1,6.5,29.07.2025,B,85.82407407407408,90,1.0486568130326896
mM,11,6,2,6.5,29.07.2025,B,85.82407407407408,70,0.8156219656920919
mM,11,6,3,6.5,29.07.2025,B,85.82407407407408,90,1.0486568130326896
mM,11,6,4,6.5,29.07.2025,B,85.82407407407408,80,0.9321393893623907
mM,11,6,5,6.5,29.07.2025,B,85.82407407407408,77.77777777777779,0.9062466285467689
mM,11,6,6,6.5,29.07.2025,C,85.82407407407408,88.88888888888889,1.0357104326248785
mM,11,6,7,6.5,29.07.2025,C,85.82407407407408,90,1.0486568130326896
mM,11,6,8,6.5,29.07.2025,C,85.82407407407408,80,0.9321393893623907
mM,11,6,9,6.5,29.07.2025,C,85.82407407407408,100,1.1651742367029885
mM,11,6,10,6.5,29.07.2025,C,85.82407407407408,70,0.8156219656920919
mM,11,6,11,6.5,29.07.2025,D,85.82407407407408,66.66666666666666,0.7767828244686589
mM,11,6,12,6.5,29.07.2025,D,85.82407407407408,90,1.0486568130326896
mM,11,6,13,6.5,29.07.2025,D,85.82407407407408,80,0.9321393893623907
mM,11,6,14,6.5,29.07.2025,D,85.82407407407408,70,0.8156219656920919
mM,11,6,15,6.5,29.07.2025,D,85.82407407407408,60,0.6991045420217931
mM,11,6,16,6.5,29.07.2025,A,85.82407407407408,80,0.9321393893623907
mM,11,6,17,6.5,29.07.2025,A,85.82407407407408,70,0.8156219656920919
mM,11,6,18,6.5,29.07.2025,A,85.82407407407408,80,0.9321393893623907
mM,11,6,19,6.5,29.07.2025,A,85.82407407407408,80,0.9321393893623907
mM,11,6,20,6.5,29.07.2025,A,85.82407407407408,80,0.9321393893623907
mM,11,6,21,6.5,29.07.2025,C,85.82407407407408,70,0.8156219656920919
mM,11,6,22,6.5,29.07.2025,C,85.82407407407408,80,0.9321393893623907
mM,11,6,23,6.5,29.07.2025,C,85.82407407407408,77.77777777777779,0.9062466285467689
mM,11,6,24,6.5,29.07.2025,C,85.82407407407408,80,0.9321393893623907
mM,11,6,25,6.5,29.07.2025,C,85.82407407407408,80,0.9321393893623907
mM,11,6,26,6.5,29.07.2025,B,85.82407407407408,80,0.9321393893623907
mM,11,6,27,6.5,29.07.2025,B,85.82407407407408,90,1.0486568130326896
mM,11,6,28,6.5,29.07.2025,B,85.82407407407408,100,1.1651742367029885
mM,11,6,29,6.5,29.07.2025,B,85.82407407407408,77.77777777777779,0.9062466285467689
mM,11,6,30,6.5,29.07.2025,B,85.82407407407408,70,0.8156219656920919
mX,1,1,1,4.8,7.11.2023,B,20.20713083213083,11.11111111111111,0.5498608982846602
mX,1,1,2,4.8,7.11.2023,B,20.20713083213083,50,2.474374042280971
mX,1,1,3,4.8,7.11.2023,B,20.20713083213083,0,0
mX,1,1,4,4.8,7.11.2023,B,20.20713083213083,55.55555555555556,2.749304491423301
mX,1,1,5,4.8,7.11.2023,B,20.20713083213083,50,2.474374042280971
mX,1,1,6,4.8,7.11.2023,D,20.20713083213083,30,1.4846244253685825
mX,1,1,7,4.8,7.11.2023,D,20.20713083213083,60,2.969248850737165
mX,1,1,8,4.8,7.11.2023,D,20.20713083213083,50,2.474374042280971
mX,1,1,9,4.8,7.11.2023,D,20.20713083213083,50,2.474374042280971
mX,1,1,10,4.8,7.11.2023,D,20.20713083213083,50,2.474374042280971
mX,1,1,11,4.8,7.11.2023,B,20.20713083213083,30,1.4846244253685825
mX,1,1,12,4.8,7.11.2023,B,20.20713083213083,33.33333333333333,1.6495826948539805
mX,1,1,13,4.8,7.11.2023,B,20.20713083213083,22.22222222222222,1.0997217965693205
mX,1,1,14,4.8,7.11.2023,B,20.20713083213083,40,1.9794992338247768
mX,1,1,15,4.8,7.11.2023,B,20.20713083213083,0,0
mX,1,1,16,4.8,7.11.2023,A,20.20713083213083,0,0
mX,1,1,17,4.8,7.11.2023,A,20.20713083213083,0,0
mX,1,1,18,4.8,7.11.2023,A,20.20713083213083,62.5,3.0929675528512135
mX,1,1,19,4.8,7.11.2023,A,20.20713083213083,33.33333333333333,1.6495826948539805
mX,1,1,20,4.8,7.11.2023,A,20.20713083213083,50,2.474374042280971
mX,1,1,21,4.8,7.11.2023,B,20.20713083213083,20,0.9897496169123884
mX,1,1,22,4.8,7.11.2023,B,20.20713083213083,0,0
mX,1,1,23,4.8,7.11.2023,B,20.20713083213083,11.11111111111111,0.5498608982846602
mX,1,1,24,4.8,7.11.2023,B,20.20713083213083,27.27272727272727,1.3496585685168931
mX,1,1,25,4.8,7.11.2023,B,20.20713083213083,33.33333333333333,1.6495826948539805
mX,1,1,26,4.8,7.11.2023,B,20.20713083213083,10,0.4948748084561942
mX,1,1,27,4.8,7.11.2023,B,20.20713083213083,40,1.9794992338247768
mX,1,1,28,4.8,7.11.2023,B,20.20713083213083,40,1.9794992338247768
mX,1,1,29,4.8,7.11.2023,B,20.20713083213083,50,2.474374042280971
mX,1,1,30,4.8,7.11.2023,B,20.20713083213083,20,0.9897496169123884
mX,1,2,1,4.9,27.02.2024,B,57.151455026455025,77.77777777777779,1.3609063451101109
mX,1,2,2,4.9,27.02.2024,B,57.151455026455025,100,1.7497367294272852
mX,1,2,3,4.9,27.02.2024,B,57.151455026455025,70,1.2248157105990998
mX,1,2,4,4.9,27.02.2024,B,57.151455026455025,70,1.2248157105990998
mX,1,2,5,4.9,27.02.2024,B,57.151455026455025,70,1.2248157105990998
mX,1,2,6,4.9,27.02.2024,B,57.151455026455025,60,1.049842037656371
mX,1,2,7,4.9,27.02.2024,C,57.151455026455025,55.55555555555556,0.9720759607929363
mX,1,2,8,4.9,27.02.2024,C,57.151455026455025,87.5,1.5310196382488745
mX,1,2,9,4.9,27.02.2024,C,57.151455026455025,50,0.8748683647136426
mX,1,2,10,4.9,27.02.2024,C,57.151455026455025,30,0.5249210188281855
mX,1,2,11,4.9,27.02.2024,C,57.151455026455025,70,1.2248157105990998
mX,1,2,12,4.9,27.02.2024,C,57.151455026455025,50,0.8748683647136426
mX,1,2,13,4.9,27.02.2024,B,57.151455026455025,33.33333333333333,0.5832455764757617
mX,1,2,14,4.9,27.02.2024,B,57.151455026455025,75,1.312302547070464
mX,1,2,15,4.9,27.02.2024,B,57.151455026455025,60,1.049842037656371
mX,1,2,16,4.9,27.02.2024,B,57.151455026455025,88.88888888888889,1.555321537268698
mX,1,2,17,4.9,27.02.2024,B,57.151455026455025,50,0.8748683647136426
mX,1,2,18,4.9,27.02.2024,B,57.151455026455025,88.88888888888889,1.555321537268698
mX,1,2,19,4.9,27.02.2024,A,57.151455026455025,80,1.3997893835418282
mX,1,2,20,4.9,27.02.2024,A,57.151455026455025,60,1.049842037656371
mX,1,2,21,4.9,27.02.2024,A,57.151455026455025,50,0.8748683647136426
mX,1,2,22,4.9,27.02.2024,A,57.151455026455025,66.66666666666666,1.1664911529515234
mX,1,2,23,4.9,27.02.2024,A,57.151455026455025,80,1.3997893835418282
mX,1,2,24,4.9,27.02.2024,A,57.151455026455025,70,1.2248157105990998
mX,1,2,25,4.9,27.02.2024,C,57.151455026455025,50,0.8748683647136426
mX,1,2,26,4.9,27.02.2024,C,57.151455026455025,40,0.6998946917709141
mX,1,2,27,4.9,27.02.2024,C,57.151455026455025,88.88888888888889,1.555321537268698
mX,1,2,28,4.9,27.02.2024,C,57.151455026455025,70,1.2248157105990998
mX,1,2,29,4.9,27.02.2024,C,57.151455026455025,50,0.8748683647136426
mX,1,2,30,4.9,27.02.2024,C,57.151455026455025,100,1.7497367294272852
mX,1,3,1,5.2,11.06.2024,D,71.61111111111111,71.42857142857143,0.9974509586611991
mX,1,3,2,5.2,11.06.2024,D,71.61111111111111,62.5,0.8727695888285493
mX,1,3,3,5.2,11.06.2024,D,71.61111111111111,80,1.117145073700543
mX,1,3,4,5.2,11.06.2024,D,71.61111111111111,77.77777777777779,1.0861132660977502
mX,1,3,5,5.2,11.06.2024,D,71.61111111111111,77.77777777777779,1.0861132660977502
mX,1,3,6,5.2,11.06.2024,A,71.61111111111111,66.66666666666666,0.9309542280837857
mX,1,3,7,5.2,11.06.2024,A,71.61111111111111,80,1.117145073700543
mX,1,3,8,5.2,11.06.2024,A,71.61111111111111,50,0.6982156710628393
mX,1,3,9,5.2,11.06.2024,A,71.61111111111111,88.88888888888889,1.2412723041117144
mX,1,3,10,5.2,11.06.2024,A,71.61111111111111,70,0.9775019394879751
mX,1,3,11,5.2,11.06.2024,D,71.61111111111111,70,0.9775019394879751
mX,1,3,12,5.2,11.06.2024,D,71.61111111111111,60,0.8378588052754072
mX,1,3,13,5.2,11.06.2024,D,71.61111111111111,77.77777777777779,1.0861132660977502
mX,1,3,14,5.2,11.06.2024,D,71.61111111111111,70,0.9775019394879751
mX,1,3,15,5.2,11.06.2024,D,71.61111111111111,90,1.256788207913111
mX,1,3,16,5.2,11.06.2024,C,71.61111111111111,40,0.5585725368502715
mX,1,3,17,5.2,11.06.2024,C,71.61111111111111,50,0.6982156710628393
mX,1,3,18,5.2,11.06.2024,C,71.61111111111111,50,0.6982156710628393
