genotype,pop,timepoint,replicate,control_ave,n_adults,productivity_normalised
mM,11,1,1,30.133333333333333,20,0.6637168141592921
mM,11,1,2,30.133333333333333,28,0.9292035398230089
mM,11,1,3,30.133333333333333,39,1.2942477876106195
mM,11,1,4,30.133333333333333,42,1.3938053097345133
mM,11,1,5,30.133333333333333,46,1.5265486725663717
mM,11,1,6,30.133333333333333,11,0.36504424778761063
mM,11,1,7,30.133333333333333,28,0.9292035398230089
mM,11,1,8,30.133333333333333,36,1.1946902654867257
mM,11,1,9,30.133333333333333,31,1.0287610619469028
mM,11,1,10,30.133333333333333,19,0.6305309734513275
mM,11,1,11,30.133333333333333,39,1.2942477876106195
mM,11,1,12,30.133333333333333,41,1.3606194690265487
mM,11,1,13,30.133333333333333,48,1.592920353982301
mM,11,1,14,30.133333333333333,1,0.033185840707964605
mM,11,1,15,30.133333333333333,44,1.4601769911504425
mM,11,1,16,30.133333333333333,46,1.5265486725663717
mM,11,1,17,30.133333333333333,20,0.6637168141592921
mM,11,1,18,30.133333333333333,26,0.8628318584070797
mM,11,1,19,30.133333333333333,28,0.9292035398230089
mM,11,1,20,30.133333333333333,12,0.39823008849557523
mM,11,1,21,30.133333333333333,37,1.2278761061946903
mM,11,1,22,30.133333333333333,14,0.4646017699115044
mM,11,1,23,30.133333333333333,40,1.3274336283185841
mM,11,1,24,30.133333333333333,20,0.6637168141592921
mM,11,1,25,30.133333333333333,53,1.758849557522124
mM,11,1,26,30.133333333333333,36,1.1946902654867257
mM,11,1,27,30.133333333333333,13,0.4314159292035398
mM,11,1,28,30.133333333333333,42,1.3938053097345133
mM,11,1,29,30.133333333333333,5,0.16592920353982302
mM,11,1,30,30.133333333333333,39,1.2942477876106195
mM,11,2,1,13.785714285714285,45,3.2642487046632125
mM,11,2,2,13.785714285714285,37,2.683937823834197
mM,11,2,3,13.785714285714285,59,4.27979274611399
mM,11,2,4,13.785714285714285,17,1.2331606217616582
mM,11,2,5,13.785714285714285,23,1.6683937823834198
mM,11,2,6,13.785714285714285,4,0.2901554404145078
mM,11,2,7,13.785714285714285,8,0.5803108808290156
mM,11,2,8,13.785714285714285,9,0.6528497409326426
mM,11,2,9,13.785714285714285,1,0.07253886010362695
mM,11,2,10,13.785714285714285,13,0.9430051813471503
mM,11,2,11,13.785714285714285,10,0.7253886010362695
mM,11,2,12,13.785714285714285,11,0.7979274611398964
mM,11,2,13,13.785714285714285,9,0.6528497409326426
mM,11,2,14,13.785714285714285,1,0.07253886010362695
mM,11,2,15,13.785714285714285,7,0.5077720207253886
mM,11,2,16,13.785714285714285,4,0.2901554404145078
mM,11,2,17,13.785714285714285,9,0.6528497409326426
mM,11,2,18,13.785714285714285,32,2.3212435233160624
mM,11,2,19,13.785714285714285,12,0.8704663212435234
mM,11,2,20,13.785714285714285,11,0.7979274611398964
mM,11,2,21,13.785714285714285,17,1.2331606217616582
mM,11,2,22,13.785714285714285,4,0.2901554404145078
mM,11,2,23,13.785714285714285,8,0.5803108808290156
mM,11,2,24,13.785714285714285,1,0.07253886010362695
mM,11,2,25,13.785714285714285,9,0.6528497409326426
mM,11,2,26,13.785714285714285,1,0.07253886010362695
mM,11,2,27,13.785714285714285,7,0.5077720207253886
mM,11,2,28,13.785714285714285,17,1.2331606217616582
mM,11,2,29,13.785714285714285,NA,NA
mM,11,2,30,13.785714285714285,NA,NA
mM,11,3,1,8.915492957746478,0,0
mM,11,3,2,8.915492957746478,16,1.7946287519747237
mM,11,3,3,8.915492957746478,13,1.458135860979463
mM,11,3,4,8.915492957746478,3,0.3364928909952607
mM,11,3,5,8.915492957746478,7,0.7851500789889416
mM,11,3,6,8.915492957746478,0,0
mM,11,3,7,8.915492957746478,6,0.6729857819905214
mM,11,3,8,8.915492957746478,12,1.3459715639810428
mM,11,3,9,8.915492957746478,5,0.5608214849921012
mM,11,3,10,8.915492957746478,8,0.8973143759873619
mM,11,3,11,8.915492957746478,12,1.3459715639810428
mM,11,3,12,8.915492957746478,11,1.2338072669826226
mM,11,3,13,8.915492957746478,0,0
mM,11,3,14,8.915492957746478,13,1.458135860979463
mM,11,3,15,8.915492957746478,25,2.8041074249605056
mM,11,3,16,8.915492957746478,12,1.3459715639810428
mM,11,3,17,8.915492957746478,11,1.2338072669826226
mM,11,3,18,8.915492957746478,9,1.009478672985782
mM,11,3,19,8.915492957746478,13,1.458135860979463
mM,11,3,20,8.915492957746478,12,1.3459715639810428
mM,11,3,21,8.915492957746478,2,0.22432859399684046
mM,11,3,22,8.915492957746478,16,1.7946287519747237
mM,11,3,23,8.915492957746478,10,1.1216429699842023
mM,11,3,24,8.915492957746478,8,0.8973143759873619
mM,11,3,25,8.915492957746478,NA,NA
mM,11,3,26,8.915492957746478,NA,NA
mM,11,3,27,8.915492957746478,NA,NA
mM,11,3,28,8.915492957746478,NA,NA
mM,11,3,29,8.915492957746478,NA,NA
mM,11,3,30,8.915492957746478,NA,NA
mM,11,4,1,31.688888888888894,59,1.8618513323983168
mM,11,4,2,31.688888888888894,37,1.1676016830294529
mM,11,4,3,31.688888888888894,63,1.9880785413744737
mM,11,4,4,31.688888888888894,41,1.2938288920056098
mM,11,4,5,31.688888888888894,44,1.3884992987377278
mM,11,4,6,31.688888888888894,37,1.1676016830294529
mM,11,4,7,31.688888888888894,38,1.199158485273492
mM,11,4,8,31.688888888888894,63,1.9880785413744737
mM,11,4,9,31.688888888888894,41,1.2938288920056098
mM,11,4,10,31.688888888888894,22,0.6942496493688639
mM,11,4,11,31.688888888888894,42,1.3253856942496491
mM,11,4,12,31.688888888888894,58,1.8302945301542775
mM,11,4,13,31.688888888888894,49,1.546283309957924
mM,11,4,14,31.688888888888894,45,1.420056100981767
mM,11,4,15,31.688888888888894,59,1.8618513323983168
mM,11,4,16,31.688888888888894,52,1.6409537166900419
mM,11,4,17,31.688888888888894,57,1.7987377279102381
mM,11,4,18,31.688888888888894,54,1.7040673211781203
mM,11,4,19,31.688888888888894,50,1.5778401122019634
mM,11,4,20,31.688888888888894,37,1.1676016830294529
mM,11,4,21,31.688888888888894,60,1.893408134642356
mM,11,4,22,31.688888888888894,42,1.3253856942496491
mM,11,4,23,31.688888888888894,53,1.6725105189340812
mM,11,4,24,31.688888888888894,47,1.4831697054698456
mM,11,4,25,31.688888888888894,61,1.9249649368863953
mM,11,4,26,31.688888888888894,53,1.6725105189340812
mM,11,4,27,31.688888888888894,45,1.420056100981767
mM,11,4,28,31.688888888888894,64,2.019635343618513
mM,11,4,29,31.688888888888894,56,1.767180925666199
mM,11,4,30,31.688888888888894,45,1.420056100981767
mM,11,5,1,20,31,1.55
mM,11,5,2,20,0,0
mM,11,5,3,20,28,1.4
mM,11,5,4,20,30,1.5
mM,11,5,5,20,26,1.3
mM,11,5,6,20,7,0.35
mM,11,5,7,20,43,2.15
mM,11,5,8,20,30,1.5
mM,11,5,9,20,17,0.85
mM,11,5,10,20,6,0.3
mM,11,5,11,20,25,1.25
mM,11,5,12,20,27,1.35
mM,11,5,13,20,34,1.7
mM,11,5,14,20,6,0.3
mM,11,5,15,20,3,0.15
mM,11,5,16,20,29,1.45
mM,11,5,17,20,23,1.15
mM,11,5,18,20,0,0
mM,11,5,19,20,12,0.6
mM,11,5,20,20,1,0.05
mM,11,5,21,20,30,1.5
mM,11,5,22,20,25,1.25
mM,11,5,23,20,6,0.3
