genotype,pop,timepoint,control_ave,productivity_sd,productivity_mean,normalised_productivity_sd,normalised_productivity_mean
mM,11,1,30.133333333333333,13.870666973828278,30.133333333333333,0.4603097447066907,1
mM,11,2,13.785714285714285,13.918698169374846,13.785714285714285,1.0096464993328906,1
mM,11,3,8.915492957746478,5.909952303689435,9.333333333333332,0.6628856454375195,1.0468667719852556
mM,11,4,31.688888888888894,10.047244718666983,49.13333333333333,0.3170589146844419,1.5504908835904625
mM,11,5,20,12.690343871865998,21.7,0.6345171935932998,1.085
mM,12,3,8.915492957746478,7.728086448669086,7.782608695652175,0.866815383657986,0.8729308331616183
mM,12,4,31.688888888888894,3.490710167181511,12.566666666666666,0.11015565043700416,0.3965638148667601
mM,12,5,20,12.920446239758236,29.6,0.6460223119879117,1.48
mM,13,3,8.915492957746478,6.282596158655562,9.583333333333334,0.7046829814605764,1.0749078462348605
mM,13,4,31.688888888888894,17.107133687105673,33.36666666666667,0.539846434726336,1.0529453015427768
mM,13,5,20,6.649604603230959,8.7,0.3324802301615479,0.435
mX,1,1,30.133333333333333,11.314775204617831,21.1,0.37549032758687495,0.7002212389380531
mX,1,2,13.785714285714285,5.0593034821147,5.3,0.36699610751091094,0.3844559585492228
mX,1,3,8.915492957746478,4.5580022614501425,8.846153846153847,0.511245119372765,0.9922226272937175
mX,1,4,31.688888888888894,13.042937805609027,14.24137931034483,0.41159340901290753,0.44941239057890403
mX,1,5,20,11.896343493096824,26.166666666666664,0.5948171746548411,1.3083333333333333
mX,2,1,30.133333333333333,17.270132346463587,23.533333333333335,0.5731238610552075,0.7809734513274337
mX,2,2,13.785714285714285,16.43573342851889,21.733333333333334,1.1922293678718365,1.576511226252159
mX,2,3,8.915492957746478,5.675876999208573,9.041666666666666,0.6366307534657327,1.0141521853607163
mX,2,4,31.688888888888894,6.112075855580313,10.766666666666667,0.19287756907511502,0.3397615708274894
mX,2,5,20,20.919550334720306,22.6,1.0459775167360157,1.13
mX,3,1,30.133333333333333,14.796870223836278,33,0.4910465782246552,1.095132743362832
mX,3,2,13.785714285714285,11.581127195679493,9.740740740740742,0.8400817654897041,0.706582229898292
mX,3,3,8.915492957746478,6.042819665989506,10.851851851851853,0.6777886197239413,1.2171903340939676
mX,3,4,31.688888888888894,16.394595408874522,42.1,0.5173610051888875,1.328541374474053
mX,3,5,20,13.445034976423134,11.3,0.6722517488211566,0.5650000000000001
mX,4,1,30.133333333333333,14.609869125425764,23,0.4848407895605895,0.7632743362831859
mX,4,2,13.785714285714285,5.1542703133473875,4.931034482758621,0.3738848931961836,0.3576916205109881
mX,4,3,8.915492957746478,7.113286903725496,9.766666666666667,0.7978568249044394,1.0954713006845709
mX,4,4,31.688888888888894,6.311690615330042,11.862068965517242,0.19917677257352862,0.374328964549983
mX,4,5,20,15.10636616961785,13.733333333333333,0.7553183084808925,0.6866666666666666
mX,5,1,30.133333333333333,13.603914968238158,25.06896551724138,0.4514573551406469,0.8319346963686298
mX,5,2,13.785714285714285,5.12115128425147,6.821428571428571,0.3714824765778268,0.49481865284974097
mX,5,3,8.915492957746478,6.460605079202565,12.035714285714286,0.7246492268931789,1.3499774317309863
mX,5,4,31.688888888888894,5.424931802103255,11.466666666666667,0.17119350006637196,0.3618513323983169
mX,5,5,20,19.71746244127658,13.275862068965518,0.9858731220638292,0.6637931034482759
tX,6,1,30.133333333333333,11.831965276269642,27.733333333333334,0.39265371492045276,0.9203539823008849
tX,6,2,13.785714285714285,5.818575436120092,6.178571428571429,0.4220728295631154,0.44818652849740936
tX,6,3,8.915492957746478,6.598502094040546,11.333333333333332,0.7401163486206616,1.271195365982096
tX,6,4,31.688888888888894,7.638077630206272,10.733333333333333,0.24103330530103947,0.3387096774193548
tX,6,5,20,17.167230210591583,17.9,0.858361510529579,0.895
tX,7,1,30.133333333333333,17.587090354189826,30.066666666666666,0.5836423790107244,0.9977876106194691
tX,7,2,13.785714285714285,5.462365643532601,5.862068965517241,0.39623377725106945,0.42522780060746834
tX,7,3,8.915492957746478,5.328743064316636,10.392857142857142,0.597694719694283,1.1657075152335816
tX,7,4,31.688888888888894,13.718684297357918,46.733333333333334,0.43291780742013064,1.4747545582047683
tX,7,5,20,14.969854766300772,14.2,0.7484927383150386,0.71
tX,8,1,30.133333333333333,16.063845319125228,28.566666666666666,0.5330922119178729,0.9480088495575222
tX,8,2,13.785714285714285,5.675112029883123,7.275862068965518,0.4116661576081021,0.5277827407539754
tX,8,3,8.915492957746478,6.31534622040612,9.428571428571429,0.7083563691134828,1.057549085985105
tX,8,4,31.688888888888894,13.61156540019105,39.36666666666667,0.4295374775656362,1.2422861150070124
tX,8,5,20,15.142085676045083,14.4,0.7571042838022541,0.72
tX,9,1,30.133333333333333,16.907320049740818,28.733333333333334,0.5610836299692749,0.9535398230088497
tX,9,2,13.785714285714285,3.7042779157141124,4.310344827586207,0.2687040975129409,0.3126675004466679
tX,9,3,8.915492957746478,8.561811454628941,9.23076923076923,0.9603295628414771,1.035362741523879
tX,9,4,31.688888888888894,7.78031704581075,13.466666666666667,0.2455219264105777,0.4249649368863955
tX,9,5,20,14.320670696423486,16.56666666666667,0.7160335348211743,0.8283333333333333
tX,10,1,30.133333333333333,11.068283360653725,23.1,0.36731028851726977,0.7665929203539823
tX,10,2,13.785714285714285,5.259785538911632,5.4642857142857135,0.38153884738219085,0.3963730569948187
tX,10,3,8.915492957746478,5.348328279436051,10.26923076923077,0.5998914815797151,1.1518410499453156
tX,10,4,31.688888888888894,7.560918441877882,12.896551724137932,0.23859840805364982,0.4069739323886443
tX,10,5,20,7.59529497433289,7.633333333333334,0.3797647487166445,0.38166666666666665
tT,14,1,30.133333333333333,11.23336573548313,20.466666666666665,0.3727886859120509,0.6792035398230089
tT,14,2,13.785714285714285,15.476583296770382,26.103448275862068,1.122653710646556,1.8935143827050207
tT,14,3,8.915492957746478,6.940738156265958,8.423076923076923,0.7785030159476823,0.9447685016405396
tT,14,4,31.688888888888894,9.875372828695996,17.166666666666664,0.31163518744131813,0.5417251051893407
tT,14,5,20,11.792701814764673,9.366666666666667,0.5896350907382337,0.4683333333333334
tT,15,3,8.915492957746478,5.107361836362902,5.541666666666667,0.5728636498922055,0.6215771458662455
tT,15,4,31.688888888888894,6.816477669301936,11.466666666666667,0.21510623781107094,0.3618513323983169
tT,15,5,20,13.31238296586622,14.566666666666666,0.665619148293311,0.7283333333333333
tT,16,3,8.915492957746478,8.238434006035058,8.11111111111111,0.9240581586548013,0.909777075653853
tT,16,4,31.688888888888894,15.52824641682406,28.666666666666664,0.4900218013724282,0.9046283309957923
tT,16,5,20,13.939524555291909,10.103448275862068,0.6969762277645958,0.5051724137931034
